Las Vegas Challenge
Stacie Rawnsley: -6
Kelley Foster: -6
Lykke Lorentzen: -7
Stephanie Vincent: -7
Rebecca Cox: -9
Lisa Fajkus: -9
Ohn Scoggins: -10
Erika Stinchcomb: -11
Casey Pennington: -12
Hailey King: -14
Sarah Hokom: -14
Madison Walker: -17
Cynthia Ricciotti: -17
Maria Oliva: -19
Stacie Hass: -21



----------Event History MPO----------
Best of 'Las Vegas Challenge'
Ezra Aderhold: 33
Parker Welck: 30
Drew Gibson: 21
Colten Montgomery: 21
Luke Samson: 18
Brodie Smith: 18
Garrett Gurthie: 17
Thomas Gilbert: 17
Kevin Jones: 16
Chris Pinegar: 16
Maximus Meyer: 11
Connor O'Reilly: 10
Calvin Heimburg: 9
Luke Humphries: 9
James Beckner: 9
Kade Filimoehala: 8
Cole Redalen: 8
Zackeriath Johnson: 8
James Conrad: 7
Tristan Tanner: 7

Best of 'WACO'
Zane Letts: 21
Nikko Locastro: 17
Chris Clemons: 16
Luke Humphries: 14
Bradley Williams: 14
Cale Leiviska: 13
Alex Russell: 11
Vincent Polidori: 11
Zackeriath Johnson: 11
Gannon Buhr: 10
Emerson Keith: 8
Luke Samson: 8
AJ Carey: 7
Connor O'Reilly: 7
Chandler Fry: 7
Nate Perkins: 7
Kyle Klein: 6
Matt Bell: 6
Seth Talbott: 6
Lance Brown: 6

Best of 'The Open at Austin'
Randy Dueck: 26
Jaden Rye: 24
Justin Freeman: 15
Terry Rothlisberger: 14
Trevon Crowe: 14
Paul McBeth: 13
Emerson Keith: 13
Richard Wysocki: 13
Zackeriath Johnson: 13
Fredy Meza: 13
Mark Chapalonis: 13
Jason Hebenheimer: 12
Isaac Marrs: 12
Luke Samson: 11
Chandler Fry: 11
Casey White: 10
Levi Hancock: 10
Patrick Blazek: 10
Bonner Butler: 9
Erik Olden: 7

Best of 'Texas State Disc Golf Championships'
Isaac Marrs: 33
Jason Mathe: 30
Chandler Kramer: 27
Gregg Barsby: 25
