
Las Vegas Challenge
4
17	66.00	Deann Carey	66842	915	+19	68	926	70	892	70	910	208	
18	60.00	Hannah McBeth	66939	910	+22	71	902	71	884	69	918	211	
18	60.00	Megan Ramirez	95481	877	+22	74	878	67	918	70	910	211	
18	60.00	Krissie Fountain	73693	906	+22	70	910	71	884	70	910	211	
21	42.00	Julie Eagle	78135	902	+24	68	926	76	842	69	918	213	
22	36.00	Cynthia Ricciotti	75029	909	+27	69	918	70	892	77	853	216	
23	30.00	Shannon Prendergast	65961	900	+29	70	910	72	875	76	861	218	
24	24.00	Alyssa Pierson	122118	833	+34	78	845	74	858	71	902	223	
25	18.00	Sheila Kirkham	7646	842	+48	80	829	79	816	78	845	237	
26	12.00	Renae Farr	84208	859	+52	75	870	77	833	89	756	241	
27	6.00	Erin Reynolds	88066	798	+68	87	772	88	740	82	813	257

Texas State Disc Golf Championships
3
1	222.00	Hailey King	81351	965	-7	60	981	64	947	61	973	185	$3,000
2	216.00	Holly Finley	51277	930	-4	61	973	65	939	62	964	188	$2,000
3	210.00	Rebecca Cox	32917	934	-3	58	998	68	914	63	956	189	$1,500
4	204.00	Alexis Mandujano	62880	925	-1	66	931	62	964	63	956	191	$1,000
4	204.00	Missy Gannon	85942	949	-1	65	939	61	973	65	939	191	$1,000
4	204.00	Catrina Allen	44184	966	-1	62	964	63	956	66	931	191	$1,000
7	186.00	Valerie Mandujano	62879	948	E	65	939	61	973	66	931	192	$700
8	180.00	Jessica Weese	50656	950	+1	61	973	66	931	66	931	193	$600
9	174.00	Sarah Hokom	34563	963	+2	67	922	60	981	67	922	194	$450
9	174.00	Ohn Scoggins	48976	951	+2	61	973	66	931	67	922	194	$450
11	162.00	Paige Pierce	29190	996	+4	64	947	69	906	63	956	196	$300
12	156.00	Heather Young	100965	948	+5	68	914	66	931	63	956	197	$275
13	150.00	Erika Stinchcomb	71262	922	+6	67	922	64	947	67	922	198	$250
13	150.00	Lisa Fajkus	32654	938	+6	63	956	66	931	69	906	198	$250
