
Las Vegas Challenge
4
1	342.00	Catrina Allen	44184	968	-20	57	1005	59	1010	53	1001	69	949	238	$5,200
2	336.00	Missy Gannon	85942	971	-16	61	972	62	987	55	982	64	986	242	$3,400
3	330.00	Holyn Handley	133547	966	-15	62	963	66	956	55	982	60	1016	243	$2,250
4	324.00	Henna Blomroos	59227	969	-13	60	980	62	987	58	954	65	979	245	$1,650
4	324.00	Ella Hansen	144112	958	-13	65	938	60	1002	52	1010	68	957	245	$1,650
6	312.00	Hailey King	81351	964	-9	63	955	64	971	53	1001	69	949	249	$1,300
7	306.00	Jessica Weese	50656	947	-7	63	955	63	979	61	926	64	986	251	$1,200
8	300.00	Ohn Scoggins	48976	977	-5	61	972	66	956	63	907	63	994	253	$1,100
9	294.00	Jennifer Allen	15354	955	-4	62	963	69	932	59	944	64	986	254	$1,025
9	294.00	Caroline Henderson	171555	902	-4	60	980	71	917	56	973	67	964	254	$1,025
11	282.00	Alexis Mandujano	62880	947	-2	63	955	65	963	57	963	71	934	256	$950
12	276.00	Maria Oliva	63257	946	-1	63	955	66	956	60	935	68	957	257	$875
12	276.00	Stacie Hass	124963	932	-1	65	938	64	971	58	954	70	942	257	$875
14	264.00	Madison Walker	59431	945	E	70	896	61	995	61	926	66	971	258	$800
15	258.00	Macie Velediaz	104187	959	+1	65	938	68	940	56	973	70	942	259	$725
15	258.00	Kona Star Montgomery	27832	939	+1	63	955	66	956	59	944	71	934	259	$725
17	246.00	Aria Castruita	105126	939	+3	70	896	67	948	56	973	68	957	261	$580
17	246.00	Lykke Lorentzen	99441	934	+3	67	921	66	956	60	935	68	957	261	$580
17	246.00	Sarah Hokom	34563	962	+3	62	963	67	948	63	907	69	949	261	$580
17	246.00	Sarah Gilpin	87338	940	+3	63	955	69	932	57	963	72	927	261	$580
17	246.00	Rebecca Cox	32917	948	+3	58	997	71	917	59	944	73	920	261	$580
22	216.00	Hanna Huynh	112647	922	+4	62	963	67	948	63	907	70	942	262	$463
22	216.00	Lisa Fajkus	32654	950	+4	63	955	70	924	58	954	71	934	262	$463
24	204.00	Stacie Rawnsley	122208	943	+5	62	963	64	971	67	869	70	942	263	$430
25	198.00	Ali Smith	147050	919	+8	67	921	69	932	55	982	75	905	266	$410
26	192.00	Sai Ananda	58303	947	+9	67	921	68	940	58	954	74	912	267	$390
27	186.00	Anniken Kristiansen Steen	109996	931	+10	68	913	67	948	58	954	75	905	268	$368
27	186.00	Karina Nowels	48518	915	+10	63	955	71	917	56	973	78	883	268	$368
29	174.00	Erika Stinchcomb	71262	919	+12	62	963	69	932	61	926	78	883	270	$350
30	168.00	Raven Klein	138272	921	+5	68	913	67	948	59	944			194	
30	168.00	Ellen Widboom	58276	934	+5	67	921	62	987	65	888			194	
32	156.00	Emily Beach	61144	948	+6	68	913	65	963	62	916			195	
33	150.00	Eveliina Salonen	64927	970	+7	71	888	71	917	54	991			196	
34	144.00	Deann Carey	66842	945	+8	66	930	72	909	59	944			197	
34	144.00	Kat Mertsch	99455	960	+8	64	947	68	940	65	888			197	
36	132.00	Chantel Budinsky	130342	911	+9	69	905	67	948	62	916			198	
37	126.00	Melody Castruita	50171	884	+10	66	930	72	909	61	926			199	
37	126.00	Dani Kleidon	146137	911	+10	65	938	71	917	63	907			199	
39	114.00	Chelsea Howells	131574	888	+11	64	947	72	909	64	897			200	
40	108.00	Paige Shue	33833	929	+12	65	938	71	917	65	888			201	
41	102.00	Sandra Richardson	56987	901	+13	69	905	72	909	61	926			202	
41	102.00	Holly Finley	51277	942	+13	60	980	78	862	64	897			202	
43	90.00	Michelle Saggboy	128395	878	+15	75	854	68	940	61	926			204	
43	90.00	Juliana Korver	7438	946	+15	73	871	70	924	61	926			204	
43	90.00	Cynthia Ricciotti	75029	932	+15	68	913	73	901	63	907			204	
43	90.00	Kristine King	27725	914	+15	69	905	70	924	65	888			204	
47	66.00	Leah Tsinajinnie	139109	904	+16	67	921	73	901	65	888			205	
48	60.00	Nathalie Ortiz	133701	857	+18	73	871	73	901	61	926			207	
49	54.00	Alexis Kerman	142354	871	+20	75	854	71	917	63	907			209	
50	48.00	Ratana Meekham	101949	886	+22	69	905	80	847	62	916			211	
50	48.00	Carolina Reaper Halstead	113817	885	+22	64	947	79	854	68	860			211	
52	36.00	Sami Keddington	52010	902	+23	67	921	72	909	73	813			212	
53	30.00	Katie Belty	106422	899	+24	72	879	80	847	61	926			213	
53	30.00	Karissa Dedmon	176481	899	+24	71	888	76	878	66	879			213	
55	18.00	Rebecca Minnick	170182	867	+25	73	871	80	847	61	926			214	
56	12.00	Emily Yale	144791	881	+30	71	888	83	823	65	888			219	
57	6.00	Violet Main	104314	910	+33	78	829	77	870	67	869			222

WACO
3
1	312.00	Kristin Tattar	73986	988	-14	58	1021	67	951	62	990	187	$4,350
2	306.00	Ella Hansen	144112	958	-13	60	1005	64	974	64	974	188	$2,800
3	300.00	Ohn Scoggins	48976	977	-10	64	974	62	990	65	967	191	$2,100
4	294.00	Sarah Hokom	34563	962	-9	69	936	61	998	62	990	192	$1,725
5	288.00	Hailey King	81351	964	-8	62	990	67	951	64	974	193	$1,312
5	288.00	Anniken Kristiansen Steen	109996	931	-8	63	982	65	967	65	967	193	$1,312
5	288.00	Deann Carey	66842	945	-8	62	990	64	974	67	951	193	$1,312
8	270.00	Kat Mertsch	99455	960	-6	68	944	62	990	65	967	195	$1,113
8	270.00	Paige Shue	33833	929	-6	64	974	63	982	68	944	195	$1,113
10	258.00	Catrina Allen	44184	968	-5	65	967	67	951	64	974	196	$1,000
11	252.00	Macie Velediaz	104187	959	-4	67	951	66	959	64	974	197	$888
11	252.00	Lisa Fajkus	32654	950	-4	66	959	63	982	68	944	197	$888
13	240.00	Alexis Mandujano	62880	947	-2	69	936	66	959	64	974	199	$775
14	234.00	Juliana Korver	7438	946	-1	65	967	68	944	67	951	200	$675
14	234.00	Henna Blomroos	59227	969	-1	66	959	65	967	69	936	200	$675
16	222.00	Holly Finley	51277	942	E	67	951	71	921	63	982	201	$526
16	222.00	Aria Castruita	105126	939	E	74	897	63	982	64	974	201	$526
16	222.00	Jessica Weese	50656	947	E	72	913	65	967	64	974	201	$526
16	222.00	Paige Pierce	29190	973	E	65	967	69	936	67	951	201	$526
16	222.00	Missy Gannon	85942	971	E	67	951	66	959	68	944	201	$526
21	192.00	Holyn Handley	133547	966	+1	71	921	66	959	65	967	202	$401
21	192.00	Rebecca Cox	32917	948	+1	69	936	65	967	68	944	202	$401
21	192.00	Maria Oliva	63257	946	+1	68	944	65	967	69	936	202	$401
21	192.00	Erika Stinchcomb	71262	919	+1	65	967	66	959	71	921	202	$401
25	168.00	Ali Smith	147050	919	+2	65	967	69	936	69	936	203	$354
25	168.00	Sai Ananda	58303	947	+2	63	982	69	936	71	921	203	$354
27	156.00	Madison Walker	59431	945	+3	75	890	67	951	62	990	204	
27	156.00	Cynthia Ricciotti	75029	932	+3	71	921	65	967	68	944	204	
29	144.00	Caroline Henderson	171555	902	+4	76	882	62	990	67	951	205	
30	138.00	Casey Pennington	74708	918	+5	68	944	66	959	72	913	206	
31	132.00	Lykke Lorentzen	99441	934	+6	69	936	68	944	70	928	207	
32	126.00	Hanna Huynh	112647	922	+7	75	890	71	921	62	990	208	
