
Las Vegas Challenge
4
1	1190.00	Calvin Heimburg	45971	1041	-31	57	1029	51	1063	50	1062	53	1047	211	$7,500
2	1180.00	Ezra Aderhold	121715	1029	-29	56	1037	52	1055	55	1020	50	1071	213	$4,000
2	1180.00	Kevin Jones	41760	1031	-29	53	1060	51	1063	51	1053	58	1006	213	$4,000
4	1160.00	Kyle Klein	85132	1039	-28	54	1052	56	1023	53	1036	51	1063	214	$2,200
4	1160.00	Drew Gibson	48346	1035	-28	57	1029	57	1014	48	1079	52	1055	214	$2,200
6	1140.00	Paul McBeth	27523	1050	-27	54	1052	54	1039	52	1045	55	1031	215	$1,800
7	1130.00	Zach Arlinghaus	65266	1008	-26	56	1037	56	1023	52	1045	52	1055	216	$1,700
8	1120.00	Matt Bell	48950	1021	-25	60	1006	54	1039	54	1028	49	1079	217	$1,505
8	1120.00	Corey Ellis	44512	1033	-25	55	1044	53	1047	56	1011	53	1047	217	$1,505
8	1120.00	Matthew Orum	18330	1040	-25	57	1029	54	1039	52	1045	54	1039	217	$1,505
8	1120.00	Emerson Keith	47472	1024	-25	54	1052	57	1014	51	1053	55	1031	217	$1,505
8	1120.00	Anthony Barela	44382	1039	-25	52	1067	49	1079	56	1011	60	990	217	$1,505
13	1070.00	Eagle McMahon	37817	1043	-24	57	1029	49	1079	52	1045	60	990	218	$1,350
14	1060.00	James Proctor	34250	1020	-23	52	1067	61	982	53	1036	53	1047	219	$1,250
14	1060.00	Connor Rock	73695	1011	-23	56	1037	55	1031	52	1045	56	1023	219	$1,250
14	1060.00	Garrett Gurthie	13864	1031	-23	55	1044	54	1039	52	1045	58	1006	219	$1,250
17	1030.00	Scott Withers	38464	1030	-22	52	1067	54	1039	60	977	54	1039	220	$1,100
17	1030.00	Clint Calvin	84958	1006	-22	59	1014	50	1071	56	1011	55	1031	220	$1,100
17	1030.00	Nikko Locastro	11534	1031	-22	59	1014	53	1047	52	1045	56	1023	220	$1,100
20	1000.00	James Conrad	17295	1033	-21	57	1029	57	1014	54	1028	53	1047	221	$953
20	1000.00	Aaron Gossage	35449	1028	-21	60	1006	49	1079	57	1003	55	1031	221	$953
20	1000.00	Jake Hebenheimer	43762	1021	-21	57	1029	53	1047	53	1036	58	1006	221	$953
23	970.00	Gregg Barsby	15857	1030	-20	56	1037	56	1023	55	1020	55	1031	222	$855
23	970.00	Andrew Marwede	75590	1032	-20	56	1037	51	1063	58	994	57	1014	222	$855
25	950.00	Mason Ford	72844	1027	-19	59	1014	57	1014	51	1053	56	1023	223	$795
25	950.00	Gavin Rathbun	60436	1027	-19	61	998	54	1039	52	1045	56	1023	223	$795
27	930.00	Joel Freeman	69509	1037	-18	56	1037	52	1055	59	986	57	1014	224	$725
27	930.00	Luke Samson	59419	1021	-18	57	1029	51	1063	57	1003	59	998	224	$725
27	930.00	Luke Humphries	69424	1016	-18	53	1060	60	990	51	1053	60	990	224	$725
30	900.00	Robert Burridge	96512	1008	-17	58	1021	57	1014	54	1028	56	1023	225	$578
30	900.00	Trevon Crowe	67172	998	-17	58	1021	59	998	51	1053	57	1014	225	$578
30	900.00	Kevin Kiefer III	97115	1016	-17	59	1014	55	1031	54	1028	57	1014	225	$578
30	900.00	Benjamin Callaway	39015	1024	-17	57	1029	56	1023	55	1020	57	1014	225	$578
30	900.00	Gannon Buhr	75412	1043	-17	54	1052	58	1006	56	1011	57	1014	225	$578
30	900.00	Brodie Smith	128378	1025	-17	55	1044	57	1014	55	1020	58	1006	225	$578
30	900.00	Maximus Meyer	49865	987	-17	63	983	53	1047	50	1062	59	998	225	$578
30	900.00	Adam Hammes	57365	1030	-17	54	1052	56	1023	56	1011	59	998	225	$578
30	900.00	Andrew Presnell	63765	1024	-17	58	1021	52	1055	51	1053	64	958	225	$578
39	810.00	Justin Rosak	98161	994	-16	58	1021	56	1023	55	1020	57	1014	226	$444
39	810.00	Chris Pinegar	74719	1017	-16	59	1014	54	1039	56	1011	57	1014	226	$444
39	810.00	Ty Love	89959	1021	-16	58	1021	54	1039	57	1003	57	1014	226	$444
39	810.00	Colten Montgomery	35876	1019	-16	60	1006	58	1006	49	1070	59	998	226	$444
43	770.00	Nathan Sexton	18824	1035	-15	56	1037	57	1014	56	1011	58	1006	227	$393
43	770.00	Alden Harris	98091	1030	-15	59	1014	55	1031	54	1028	59	998	227	$393
43	770.00	Parker Welck	39491	1007	-15	57	1029	56	1023	55	1020	59	998	227	$393
46	740.00	Cole Redalen	79748	1027	-14	54	1052	58	1006	57	1003	59	998	228	$370
47	730.00	Tristan Tanner	99053	1010	-13	60	1006	54	1039	52	1045	63	966	229	$353
47	730.00	Simon Lizotte	8332	1037	-13	53	1060	55	1031	57	1003	64	958	229	$353
49	710.00	Bradley Williams	31644	1029	-12	58	1021	55	1031	56	1011	61	982	230	
50	700.00	Jake Brown	140954	1001	-11	60	1006	58	1006	52	1045			170	
50	700.00	Austin Turner	54049	1019	-11	63	983	54	1039	53	1036			170	
50	700.00	Andrew Fish	58320	1015	-11	60	1006	56	1023	54	1028			170	
50	700.00	Austin Hannum	68835	1015	-11	59	1014	57	1014	54	1028			170	
54	660.00	Paul Oman	34344	1020	-10	61	998	57	1014	53	1036			171	
54	660.00	Jared Stoll	68103	992	-10	59	1014	54	1039	58	994			171	
56	640.00	Jordan Castro	49431	1000	-9	62	991	60	990	50	1062			172	
56	640.00	AJ Carey	61770	1014	-9	58	1021	59	998	55	1020			172	
56	640.00	Tim Barham	53332	1015	-9	57	1029	60	990	55	1020			172	
